Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_FTSE 250,Change %_FTSE 250,local risk covarience_FTSE 250,向量寬度_FTSE 250,Price_GBP_USD,Change %_GBP_USD,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
Aug 02 2017,7411.43,-0.0016,0.09644073828004417,-0.8713359008029041,0.09406528080344831,1.122911129477266,0.17224020021700978,-0.40006817343281176,0.11393178906533279,2.126879125223375,-2.5269472986561867,2477.57,0.0005,2.9914109389442074,15.887344559532721,19841.41,-0.0011,-0.7394090692142907,0.0008133499761357199,1.3223,0.0015,110.73,0.0034000000000000002,2.271,0.008,1.9629636357544973,-0.017759256875000004,-0.027213349642709425
Aug 03 2017,7474.77,0.0085,0.11777879265810112,0.8112377914362043,0.09680573058287517,1.3487313376701606,0.1925448752032317,0.716824489700307,0.12005520444457352,2.135795300720447,-1.4189708110201402,2472.16,-0.0022,3.023578570966281,-79.52353317968937,19908.24,0.0034000000000000002,-0.5250753373142805,-0.0017852561468685538,1.3139,-0.0064,110.05,-0.0060999999999999995,2.219,-0.0229,1.7335513966037412,-0.03755869113128152,-0.027719036218705348
Aug 04 2017,7511.71,0.0049,0.06808109869853725,-1.5906947436866952,0.09777703960380583,1.3512192804507008,0.2864883698212208,1.7620241005220978,0.1177334165241776,1.7108979457240074,0.05112615479809035,2476.83,0.0019,3.0327919154726,-22.8198880735863,19969.73,0.0031,-0.3897080950465011,-0.0012080950946441534,1.3036,-0.0078000000000000005,110.69,0.0058,2.264,0.0203,1.0186874842695255,0.022189113602619506,-0.006518267302517811
Aug 07 2017,7531.94,0.0027,0.0628297700139032,-1.1335287385721755,0.09779802871762105,1.2453978460471988,0.36454676596932634,1.5015774495431864,0.11401841060573219,1.318295075721645,0.18328237382154144,2480.91,0.0016,3.0359585797147015,-7.856208984871955,19988.5,0.0009,-12.240385721791665,-0.011016347149612497,1.3035,-0.0001,110.75,0.0005,2.257,-0.0069,0.48270141608350947,0.04164702346513892,0.015616343379948272
Aug 08 2017,7542.73,0.0014000000000000002,0.06019139473379872,-0.8314126407411465,0.09463306421175036,0.7274201835505115,0.39853619881066943,1.150049042850394,0.10750704493301967,0.8322582946186501,0.3177907482317439,2474.92,-0.0024,3.047666187189889,-28.975391892490734,19949.49,-0.002,0.577343205264849,-0.001154686410529698,1.2991,-0.0034000000000000002,110.31,-0.004,2.262,0.0022,-0.3097204385004907,0.06079564690584944,0.039922682762771416
Aug 09 2017,7498.06,-0.0059,0.08452635092088132,0.2454457330977529,0.0895178241586851,-0.026914114333894793,0.3780242008534436,0.636285546432151,0.10750899954486386,0.7550966301636446,-0.11881108373149363,2474.02,-0.0004,3.0307192342826657,41.92710043152874,19875.03,-0.0037,-3.4801467685115766,0.012876543043492833,1.3005,0.0011,110.08,-0.0021,2.249,-0.005699999999999999,-0.940250957069662,0.051604160915454195,0.05744903043129135
Aug 10 2017,7389.94,-0.0144,0.12547189326697825,1.6756485280638802,0.10410920026081927,1.8177756316640516,0.4286996419095675,1.0797395136302783,0.11780823465884208,1.2404960262551192,-0.16075651262484092,2438.21,-0.014499999999999999,3.030887413307303,-0.41005577966097917,19699.42,-0.0088,3.855510720620354,-0.033928494341459114,1.2975,-0.0023,109.22,-0.0078000000000000005,2.201,-0.0213,-1.422667451713186,0.01074162977273585,0.05599342151289449
Aug 11 2017,7309.96,-0.0108,0.11833165257022307,0.9205040181362232,0.10975534898846137,2.1277403947090594,0.4839322213882338,1.5400659196450364,0.13322379506469673,1.8481353796470197,-0.3080694600019833,2441.32,0.0013,2.9942653974079594,89.40605985538514,19544.79,-0.0078000000000000005,-2.7823071892679083,0.021701996076289688,1.3012,0.0029,109.19,-0.0003,2.191,-0.0045000000000000005,-1.7907106366268901,0.017109420360480382,0.0451708606295467
Aug 14 2017,7353.89,0.006,0.13386267590333006,0.9465171433635124,0.11129362444500254,1.9993727650839086,0.49284519036539315,1.1097154483201832,0.1413034615098534,1.9656113043280026,-0.8558958560078194,2465.84,0.01,2.982306232358953,29.489387544442252,19692.47,0.0076,-2.068693521248665,-0.01572207076148985,1.2965,-0.0036,109.64,0.0040999999999999995,2.224,0.011200000000000002,-1.7080944983426418,-0.0045494642638847504,0.02483641816040319
Aug 15 2017,7383.85,0.0040999999999999995,0.14274263553682892,0.9740032530166421,0.11219449888005815,1.9064908548033164,0.35457720021888667,-1.1840017113469288,0.14072574963464254,1.7113570629522872,-2.8953587742992157,2464.61,-0.0005,2.995950677794864,-33.62823666580152,19694.81,0.0001,-0.016096038552930906,-1.6096038552930907e-06,1.287,-0.0073,110.67,0.009399999999999999,2.273,0.022000000000000002,-0.8271818817361336,-0.017876495447045004,0.0038790984501357595
Aug 16 2017,7433.03,0.0067,0.16024370190431816,1.480762351549966,0.113054414937419,1.82652148735191,0.25850537394958356,-1.480013326548743,0.1393002616066274,1.4852613024297292,-2.965274628978472,2468.11,0.0014000000000000002,3.0116283309901095,-38.69417262771822,19859.24,0.0083,5.336313726003618,0.04429140392583003,1.289,0.0016,110.19,-0.0043,2.225,-0.021099999999999997,-0.41215662691050636,-0.046327415020951945,-0.02221422495296929
Aug 17 2017,7387.87,-0.0060999999999999995,0.12588694928387126,-0.6367623923377221,0.11125929742344186,1.4782944245086573,0.25744183119566916,-0.9694279356573716,0.13766243417395152,1.297429271719325,-2.2668572073766966,2430.01,-0.0154,3.040263208793379,-69.58303941072336,19773.08,-0.0043,2.670280430334005,-0.01148220585043622,1.2869,-0.0016,109.57,-0.005600000000000001,2.185,-0.018000000000000002,-0.033462080653152454,-0.017203452988304266,-0.027530026744147104
Aug 18 2017,7323.98,-0.0086,0.11446940202516989,-1.209758620154971,0.11397270587386493,1.6187328075329481,0.2751912234512838,-0.5221081858005449,0.13789944150813419,1.233971809291438,-1.7560799950919828,2425.55,-0.0018,3.0195131001216216,50.33042608878168,19626.46,-0.0074,-13.741500868868158,0.10168710642962438,1.2876,0.0005,109.19,-0.0034999999999999996,2.197,0.0055000000000000005,0.6106373028537531,-0.01598613417785158,-0.03695780508338514
Aug 21 2017,7318.88,-0.0007000000000000001,0.10322336944703933,-1.1525119603618463,0.10860090723668739,0.9050809586263973,0.35935714279800307,1.1309341385184217,0.1372134499200661,1.126852634125205,0.0040815043932167505,2428.37,0.0012,3.013906447534766,13.615026942341501,19646.9,0.001,0.536871343570814,0.000536871343570814,1.2901,0.0019,108.98,-0.0019,2.183,-0.0121,0.5197658212573715,-0.005308700175462644,-0.031398542367868626
Aug 22 2017,7381.74,0.0086,0.12050727778852185,-0.20278630158414307,0.10953092569777052,0.9191261916150965,0.34122025673994255,0.8865106174882896,0.13911830016995566,1.146498687158317,-0.2599880696700273,2452.51,0.009899999999999999,3.0098715193821834,9.895701643489701,19751.2,0.0053,-0.8794752171559549,-0.004661218650926561,1.2824,-0.006,109.57,0.0054,2.217,0.015600000000000001,-0.002911348927859242,-0.03077105430890492,-0.035129916610166984
Aug 23 2017,7382.65,0.0001,0.10549443587222965,-0.872941719315754,0.10907531343067504,0.7826292879724877,0.15315196555232233,-1.5211859254015003,0.13772721286988204,0.9728883256766448,-2.4940742510781453,2444.04,-0.0034999999999999996,3.0206747843734143,-26.403611769168492,19743.22,-0.0004,0.2155676733582385,-8.622706934329541e-05,1.28,-0.0019,109.03,-0.0049,2.169,-0.0217,0.3199167203513935,-0.016012474360545592,-0.024434325371682164
Aug 24 2017,7407.06,0.0033,0.09972299634487511,-1.0459708795573128,0.10982647221867776,0.7855559664334527,0.13599186146962844,-1.1251226536582517,0.13317874479835673,0.601197152269731,-1.7263198059279827,2438.97,-0.0021,3.0369623242598314,-39.72482115677485,19710.3,-0.0017000000000000001,0.0,0.0,1.28,0.0,109.56,0.0049,2.196,0.0124,0.4556306554863994,-0.009641052334702443,-0.018601552285394327
Aug 25 2017,7401.46,-0.0008,0.06346825978392642,-1.6578833406615847,0.10363573707944572,0.004683669191471674,0.3352745077480092,0.6362146262884015,0.13071645778295848,0.3505688378900155,0.28564578839838606,2443.05,0.0017000000000000001,3.0295982480915247,17.990806282981794,19671.33,-0.002,-0.2934467187210519,0.0005868934374421038,1.2887,0.0068000000000000005,109.36,-0.0018,2.169,-0.0123,-0.23148331776158937,0.035398188614920376,0.0003831805515284864
Aug 30 2017,7365.26,0.0038,0.07961504882872317,-0.5716720495427349,0.10611872447504506,0.14280217327273656,0.2810504147285316,0.34363709539735493,0.11659942129470821,-0.9034779460010176,1.2471150413983725,2457.59,0.0046,2.9969441607428413,6.033215754404409,19616.56,0.0045000000000000005,9.737932474740308,0.04382069613633139,1.2926,0.0005,110.23,0.0044,2.136,0.0033,-0.6811214524984045,0.01918484100213716,0.009063666351243393
Aug 31 2017,7430.62,0.0089,0.10422312603256523,0.8458029860647966,0.11094655897038187,0.7215767910205632,0.27667049655995635,0.05178182214200614,0.11071731973431675,-1.3616421808086063,1.4134240029506124,2471.65,0.005699999999999999,3.0063398944025246,-23.222965099956127,19803.59,0.0095,24.424712186025374,0.23203476576724105,1.2931,0.0004,109.97,-0.0024,2.12,-0.0075,-0.9010820781601784,-0.012317429156850274,0.002423735364030899
Sep 01 2017,7438.5,0.0011,0.10272290883731815,0.7056408637991062,0.10658355358467292,0.027236126642845793,0.28437850737110815,-0.6022476959841024,0.10535927510833125,-1.627244580974572,1.0249968849904696,2476.55,0.002,3.003573519613979,6.851065482573176,19786.18,-0.0009,-0.5697838339689568,0.0005128054505720611,1.2951,0.0015,110.27,0.0027,2.166,0.0217,-0.633508374290583,-0.01774964621296933,-0.005108681385823849
Sep 05 2017,7372.92,-0.0052,0.0904498756218049,-0.5544939642603051,0.10583654129687067,-0.2262418676388741,0.1840968419102453,-1.0152914902448855,0.09478993945907047,-1.923324843922045,0.9080333536771594,2457.85,-0.0076,2.9997436784181297,9.41317518321739,19726.83,0.0015,0.18917511564376527,0.0002837626734656479,1.3033,0.0078000000000000005,108.81,-0.0085,2.063,-0.047400000000000005,0.4444798935808521,-0.016026753081628445,-0.022457225669365075
Sep 06 2017,7354.13,-0.0025,0.08921275693531713,-1.1453890441920094,0.10554901729827511,-0.41890812296954116,0.1328727713418659,-1.1674789071816878,0.08277238413363254,-2.285945748340654,1.118466841158966,2465.54,0.0031,2.9827664527851914,41.85802888703529,19652.31,-0.0038,-4.945802096546904,0.018794047966878235,1.3043,0.0008,109.23,0.0039000000000000003,2.106,0.0208,0.7010582311566249,-0.01911105565192288,-0.028698188547466072
Sep 07 2017,7396.98,0.0058,0.06975216125683834,-1.513544514095016,0.10685312102921567,-0.5831421876484715,0.23235291210475514,0.5249464413766427,0.04755527048116734,-2.984820093403739,3.5097665347803817,2465.1,-0.0002,3.0006815139345258,-44.16241723922485,19696.68,0.0023,0.5088301683329233,0.0011703093871657235,1.3101,0.0044,108.45,-0.0070999999999999995,2.042,-0.0304,0.5251888903584103,0.004807240760366274,-0.017346294858510344
Sep 08 2017,7377.6,-0.0026,0.06806073758048746,-1.0349196509377392,0.0941706893722357,-3.229544263234124,0.2594191844806366,1.2584957810380235,0.06848346982577648,-1.828940538810773,3.0874363198487966,2461.43,-0.0015,2.9972820677411103,8.367498843858812,19610.4,-0.0044,-0.5986322006290685,0.0026339816827679018,1.3198,0.0074,107.84,-0.005600000000000001,2.054,0.0059,0.20787294349715188,0.014704582829402665,-0.0022079422144586913
Sep 11 2017,7413.59,0.0049,0.07844159610818725,-0.07067176489474468,0.08660876642149243,-3.1617351870006347,0.16663198579731564,-0.5597368045680617,0.10210854262690114,-0.5273458467395996,-0.03239095782846213,2488.11,0.0108,2.97960701094405,43.97748556733404,19694.26,0.0043,-1.6014081260224209,-0.00688605494189641,1.3163,-0.0027,109.41,0.0146,2.134,0.0216,0.3583096241639212,0.01077747002441963,0.01003564063208004
