Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_FTSE Italia Mid Cap,Change %_FTSE Italia Mid Cap,local risk covarience_FTSE Italia Mid Cap,向量寬度_FTSE Italia Mid Cap,Price_EUR_USD,Change %_EUR_USD,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
Feb 24 2017,18596.66,-0.0118,0.09391887989110635,1.484980928727418,0.1725517075820274,-0.6644278333614724,0.1817474697209678,-1.5249767116285105,0.12714069860406604,-1.8809981213615266,0.3560214097330161,2367.34,0.0015,7.855508714422093,250.93411991657922,33344.55,-0.0054,3.1891289081223593,-0.01722129610386074,1.0563,-0.0017000000000000001,112.19,-0.0036,2.315,-0.025699999999999997,1.1220836225462756,0.10094253762906692,0.11794410571871873
Feb 27 2017,18914.3,0.0171,0.1814193043752513,1.742473072433761,0.15163752486560914,-2.555855838639472,0.7719662446541797,1.6316224114321585,0.156667095589833,-1.1726572078684334,2.804279619300592,2369.75,0.001,7.98155923620635,-298.70822399824465,33618.56,0.008199999999999999,3.4519240324392317,0.028305777066001698,1.0588,0.0024,112.7,0.0045000000000000005,2.367,0.0192,0.08596947131213267,0.01847200591197018,0.10320725600346314
Feb 28 2017,18913.28,-0.0001,0.17820646452920857,1.050409203893271,0.1475160640672552,-2.3684356928766537,0.8942047191327686,1.253720891233391,0.18803906372856816,-0.6446916707316649,1.8984125619650558,2363.64,-0.0026,8.001759997292313,-47.74732693322221,33920.36,0.009000000000000001,-8.555169172197848,-0.07699652254978065,1.0577,-0.001,112.78,0.0007000000000000001,2.397,0.0127,-0.6215415355070963,0.02722044734410692,0.08638958033692727
Mar 01 2017,19364.39,0.0239,0.23599793219433113,1.2240839294571977,0.1671112875333454,-0.6662632918315727,1.096384063483491,1.1436340772953462,0.19036142591876465,-0.6611664109946966,1.8048004882900428,2395.96,0.0137,8.082100702849797,-192.49311688750822,34400.46,0.014199999999999999,-5.076209987328124,-0.07208218182005935,1.0548,-0.0027,113.73,0.0084,2.458,0.0254,-1.0570045271183972,-0.05214264078518924,0.032399577715000794
Mar 02 2017,19440.62,0.0039000000000000003,0.2245387271719516,0.746503456348132,0.165735748136985,-0.7147795259360942,0.8872344820119585,0.34847928910717874,0.1922526960309561,-0.6520554805534275,1.0005347696606064,2381.92,-0.0059,8.161743467454826,-189.7026938680101,34452.09,0.0015,-0.3840443918269941,-0.0005760665877404912,1.0507,-0.0039000000000000003,114.41,0.006,2.482,0.0098,-1.0300153185598582,-0.05976164461599123,-0.018039179076409617
Mar 03 2017,19664.45,0.0115,0.15414465933012447,-1.1892366028913166,0.16532400341530254,-0.6722890137751459,0.5435070671473481,-1.4601941350003231,0.18960206180602324,-0.690656237450757,-0.7695378975495661,2383.12,0.0005,8.251556782705027,-214.03590783905747,34473.08,0.0006,0.05575984317279539,3.345590590367723e-05,1.0623,0.011000000000000001,114.02,-0.0034000000000000002,2.482,0.0,-0.45631608223462344,2.514707837181218e-05,-0.04069161111167735
Mar 06 2017,19449.85,-0.0109,0.20656876821049233,0.1986696380984207,0.14803046343662835,-1.8787014916519134,0.5335559038866131,-1.0493847863980232,0.19499721948957346,-0.534524385765654,-0.5148604006323693,2375.31,-0.0033,8.188341732237054,150.15534152707914,34468.78,-0.0001,0.0314282332343528,-3.1428233234352803e-06,1.0581,-0.004,113.89,-0.0011,2.494,0.0072,0.5965893352567357,-0.0877030033045654,-0.08102554538129492
Mar 07 2017,19455.05,0.0003,0.20588447245967845,0.014595342811375027,0.147533258337872,-1.7325052497653044,0.4976621119101746,-0.8022623549653577,0.1956133936446977,-0.4616196805586284,-0.3406426744067293,2368.39,-0.0029,8.214462145170348,-61.86332478708209,34619.54,0.0044,-3.0674972573291677,-0.013496987932248338,1.0566,-0.0014000000000000002,113.98,0.0008,2.518,0.0096,1.050100683914426,-0.1108271202467503,-0.11036955966038771
Mar 08 2017,19482.39,0.0014000000000000002,0.12813982987346315,-1.3671463323132218,0.14690297549922576,-1.6588143515637974,0.6469355265950538,0.15877518462452683,0.18818742235581817,-0.5444294655060284,0.7032046501305553,2362.98,-0.0023,8.244839143793007,-71.78024020537123,34659.78,0.0012,-0.48952398428378674,-0.000587428781140544,1.0541,-0.0024,114.35,0.0032,2.56,0.0167,1.073756806097931,-0.03503517045834531,-0.09075063199402442
Mar 09 2017,19571.24,0.0046,0.12914768290604398,-0.9078361912122734,0.14462309926877195,-1.6959714272907227,0.6230189878881123,0.8554694563794507,0.18490164437798004,-0.5403547817960016,1.3958242381754524,2364.87,0.0008,8.275820658218,-73.26725401823569,34919.7,0.0075,2.1869013765868117,0.016401760324401087,1.0577,0.0034000000000000002,114.94,0.0052,2.609,0.0191,0.7719267128106235,-0.030739901978101197,-0.06636930162801796
