Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_NASDAQ Russia Small Cap,Change %_NASDAQ Russia Small Cap,local risk covarience_NASDAQ Russia Small Cap,向量寬度_NASDAQ Russia Small Cap,Price_USD_RUB,Change %_USD_RUB,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
Apr 18 2016,1892.64,-0.0079,0.17324536357432377,0.16752697099558764,0.13610832063973324,-0.16557209489563515,0.4386057773542421,-0.5829658625645942,0.19554063804306573,-0.6009847416281033,0.018018879063509186,2094.34,0.006500000000000001,0.9036928101454396,27.61873861577419,477.6,-0.0073,-1.52062571155285,0.011100567694335806,66.0847,-0.0048,108.83,0.0006,1.771,0.0263,-1.8264527214512012,0.033343632432327824,0.037972330087699124
Apr 19 2016,1930.14,0.019799999999999998,0.22557837662329178,1.4079806131828319,0.1536032472929768,1.2751599448352757,0.4243522942751929,-1.0059359004156512,0.19352634788815623,-0.586879592307332,-0.4190563081083192,2100.8,0.0031,0.9187642802741812,-31.662144446460616,491.69,0.029500000000000002,8.204999465021547,0.24204748421813566,65.8547,-0.0034999999999999996,109.2,0.0034000000000000002,1.787,0.009000000000000001,-1.0710535883837538,-0.03274705600507832,0.004890633838789071
Apr 20 2016,1960.18,0.015600000000000001,0.21749234469286421,0.7970580792168246,0.15397753663919198,1.309264364934746,0.33683271705149803,-1.337750850117245,0.19320185602673492,-0.534891721442894,-0.802859128674351,2102.4,0.0008,0.932353500761035,-28.56997715156149,494.59,0.0059,0.5744420028981724,0.003389207817099217,65.1893,-0.0101,109.84,0.0059,1.845,0.0325,0.12027149689281597,-0.047797504898111076,-0.03088515456069263
Apr 21 2016,1950.08,-0.0052,0.2065163044410772,0.12029295812191823,0.15268679086700063,1.1528643314741258,0.3215533538689443,-1.1158457376052278,0.1977112598865618,-0.34743388393561864,-0.7684118536696092,2091.48,-0.0052,0.9323923728651481,-0.08130022831051065,491.53,-0.0062,0.2530226696032312,-0.0015687405515400336,66.8337,0.0252,109.45,-0.0036,1.865,0.0108,1.0314364619630494,-0.043279114046147066,-0.04084246502014349
Apr 22 2016,1967.26,0.0088,0.1958505144236279,-0.38642376699811837,0.15411856440655314,1.2047867064669988,0.32396408461574566,-0.7843654965145856,0.20337679938503628,-0.1304988442527735,-0.6538666522618122,2091.58,0.0,0.9405616806433414,-17.08676076271354,495.53,0.008100000000000001,1.5137689192438768,0.012261528245875404,66.4792,-0.0053,111.79,0.021400000000000002,1.891,0.0139,1.4884865060087173,-0.03671333709317934,-0.044599403420588685
Apr 25 2016,1955.47,-0.006,0.18750743985239543,-1.2324117996804638,0.15134238909453668,0.980849764700802,0.24578660586679943,-1.3332712968600975,0.20411968005095232,-0.07660461423298887,-1.2566666826271087,2087.79,-0.0018,0.9366219782640974,8.225271230361841,492.5,-0.0060999999999999995,4.64332842984903,-0.02832430342207908,66.5674,0.0013,111.2,-0.0053,1.915,0.0125,1.9474715202837083,-0.02650207485241099,-0.04558363100666715
Apr 26 2016,1946.55,-0.0046,0.15678999968110102,-1.5611664935846143,0.15263668318144102,1.0213345080351983,0.3664812402023153,1.065834833165132,0.2093469476986787,0.0887340026566437,0.9771008305084883,2091.7,0.0019,0.9306066835588278,12.58219193501236,492.4,-0.0002,-0.009558605849714965,1.911721169942993e-06,65.1825,-0.0208,111.31,0.001,1.931,0.0084,1.4618033875973433,0.013462854666748708,-0.022578466270363723
Apr 27 2016,1934.77,-0.0060999999999999995,0.1018099405755627,-1.6076583818238812,0.151195153431096,0.9051196193628448,0.6703161435586753,1.72560730881649,0.21007124053957266,0.08108216155140023,1.64452514726509,2095.15,0.0016,0.9234517814953582,14.990593058278137,492.04,-0.0007000000000000001,-0.9530810503207808,0.0006671567352245466,65.1325,-0.0008,111.47,0.0014000000000000002,1.853,-0.0404,0.15560910187706073,0.08855151942598377,0.02066662020679333
Apr 28 2016,1969.89,0.0182,0.17422805744196213,0.2940493964614413,0.16200668114877897,1.5706296979089651,0.5933513467333644,0.840627142951908,0.22328010233139273,0.421106061973116,0.419521080978792,2075.81,-0.0092,0.9489741353977484,-52.979557454120595,506.87,0.0301,4.387071944346781,0.1320508655248381,64.701,-0.0066,108.11,-0.0301,1.824,-0.015700000000000002,-0.12508981480315368,-0.005632539208207998,0.005358327838824006
Apr 29 2016,1953.05,-0.0085,0.17535044910122025,0.47875954964871414,0.1627062878479599,1.4570996770842715,0.5375928489652954,0.3167706947528503,0.23742900781408452,0.814405454937958,-0.4976347601851077,2065.3,-0.0051,0.945649542439355,6.866281836970074,507.3,0.0008,1.1709934949736474,0.0009367947959789179,64.6542,-0.0007000000000000001,106.36,-0.016200000000000003,1.835,0.006,-0.22390895093682028,-0.008779343209407736,0.007433928561363934
