Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,11722.56,11669.00,11755.00,11666.00,-,1.42%
Jan 05 2011,11741.57,11705.00,11741.57,11650.00,-,0.16%
Jan 06 2011,11716.87,11756.00,11787.00,11710.00,-,-0.21%
Jan 07 2011,11674.35,11726.00,11726.00,11674.35,-,-0.36%
Jan 10 2011,11575.26,11659.00,11660.00,11564.00,-,-0.85%
Jan 11 2011,11735.26,11646.00,11735.26,11631.00,-,1.38%
Jan 12 2011,11765.29,11774.00,11799.00,11734.00,-,0.26%
Jan 13 2011,11767.00,11775.00,11776.00,11729.00,-,0.01%
Jan 14 2011,11733.11,11768.00,11772.00,11701.00,-,-0.29%
Jan 17 2011,11741.51,11743.00,11760.00,11719.00,-,0.07%
Jan 18 2011,11830.32,11742.00,11830.32,11742.00,-,0.76%
Jan 19 2011,11728.16,11843.00,11851.00,11728.16,-,-0.86%
Jan 20 2011,11505.03,11697.00,11697.00,11502.00,-,-1.90%
Jan 21 2011,11532.69,11555.00,11568.00,11483.00,-,0.24%
Jan 24 2011,11573.44,11567.00,11589.00,11546.00,-,0.35%
Jan 25 2011,11501.60,11595.00,11596.00,11474.00,-,-0.62%
Jan 26 2011,11613.57,11553.00,11630.00,11553.00,-,0.97%
Jan 27 2011,11617.43,11622.00,11682.00,11613.00,-,0.03%
Jan 28 2011,11546.02,11614.00,11616.00,11529.00,-,-0.61%
Jan 31 2011,11471.51,11478.00,11478.00,11412.00,-,-0.65%
Feb 01 2011,11608.47,11523.00,11608.47,11487.00,-,1.19%
Feb 02 2011,11588.53,11666.00,11691.00,11558.00,-,-0.17%
Feb 03 2011,11575.83,11603.00,11626.00,11543.00,-,-0.11%
Feb 04 2011,11666.53,11608.00,11668.00,11602.00,-,0.78%
Feb 07 2011,11797.08,11690.00,11798.00,11690.00,-,1.12%
Feb 08 2011,11830.54,11802.00,11834.00,11758.00,-,0.28%
Feb 09 2011,11796.61,11835.00,11847.00,11795.00,-,-0.29%
Feb 10 2011,11721.60,11783.00,11784.00,11667.00,-,-0.64%
Feb 11 2011,11797.77,11698.00,11797.77,11666.00,-,0.65%
Feb 14 2011,11834.98,11853.00,11857.00,11808.00,-,0.32%
Feb 15 2011,11749.72,11821.00,11823.00,11730.00,-,-0.72%
Feb 16 2011,11807.28,11770.00,11808.00,11770.00,-,0.49%
Feb 17 2011,11827.76,11826.00,11841.00,11794.00,-,0.17%
Feb 18 2011,11828.29,11832.00,11832.00,11779.00,-,0.00%
Feb 21 2011,11727.66,11799.00,11821.00,11727.66,-,-0.85%
Feb 22 2011,11652.41,11610.00,11678.00,11557.00,-,-0.64%
Feb 23 2011,11521.94,11613.00,11618.00,11514.00,-,-1.12%
Feb 24 2011,11409.74,11447.00,11459.00,11403.00,-,-0.97%
Feb 25 2011,11608.97,11472.00,11608.97,11471.00,-,1.75%
Feb 28 2011,11621.29,11607.00,11675.00,11587.00,-,0.11%
Mar 01 2011,11602.05,11707.00,11713.00,11580.00,-,-0.17%
Mar 02 2011,11543.37,11475.00,11561.00,11441.00,-,-0.51%
Mar 03 2011,11652.37,11579.00,11652.37,11555.00,-,0.94%
Mar 04 2011,11723.01,11715.00,11775.00,11709.00,-,0.61%
Mar 07 2011,11747.87,11702.00,11812.00,11689.00,-,0.21%
Mar 08 2011,11732.42,11775.00,11786.00,11665.00,-,-0.13%
Mar 09 2011,11730.20,11757.00,11788.00,11719.00,-,-0.02%
Mar 10 2011,11515.64,11650.00,11650.00,11505.00,-,-1.83%
Mar 11 2011,11409.53,11432.00,11462.00,11396.00,-,-0.92%
Mar 14 2011,11349.66,11374.00,11453.00,11346.00,-,-0.52%
Mar 15 2011,11151.23,11141.00,11174.00,10971.00,-,-1.75%
Mar 16 2011,11033.11,11216.00,11261.00,11033.11,-,-1.06%
Mar 17 2011,11237.00,11073.00,11258.00,11063.00,-,1.85%
Mar 18 2011,11348.00,11307.00,11372.00,11307.00,-,0.99%
Mar 21 2011,11511.24,11434.00,11512.00,11429.00,-,1.44%
Mar 22 2011,11441.57,11534.00,11539.00,11418.00,-,-0.61%
Mar 23 2011,11447.35,11423.00,11474.00,11401.00,-,0.05%
Mar 24 2011,11605.52,11460.00,11609.00,11459.00,-,1.38%
Mar 25 2011,11629.31,11635.00,11651.00,11604.00,-,0.20%
Mar 28 2011,11637.39,11646.00,11667.00,11637.39,-,0.07%
Mar 29 2011,11636.37,11640.00,11660.00,11593.00,-,-0.01%
Mar 30 2011,11676.44,11692.00,11705.00,11666.00,-,0.34%
Mar 31 2011,11617.83,11699.00,11699.00,11600.00,-,-0.50%
Apr 01 2011,11708.73,11656.00,11708.73,11578.00,-,0.78%
Apr 04 2011,11766.57,11700.00,11767.00,11688.00,-,0.49%
Apr 05 2011,11737.66,11750.00,11760.00,11723.00,-,-0.25%
Apr 06 2011,11781.37,11751.00,11811.00,11745.00,-,0.37%
Apr 07 2011,11659.42,11763.00,11763.00,11644.00,-,-1.04%
Apr 08 2011,11726.19,11703.00,11743.00,11689.00,-,0.57%
Apr 11 2011,11689.70,11730.00,11735.00,11689.00,-,-0.31%
Apr 12 2011,11541.59,11625.00,11639.00,11541.00,-,-1.27%
Apr 13 2011,11615.77,11574.00,11637.00,11559.00,-,0.64%
Apr 14 2011,11603.19,11604.00,11617.00,11541.00,-,-0.11%
Apr 15 2011,11679.24,11630.00,11682.00,11592.00,-,0.66%
Apr 18 2011,11490.75,11684.00,11691.00,11467.00,-,-1.61%
Apr 19 2011,11574.53,11546.00,11587.00,11531.00,-,0.73%
Apr 20 2011,11756.19,11678.00,11756.19,11678.00,-,1.57%
Apr 21 2011,11810.48,11796.00,11823.00,11786.00,-,0.46%
Apr 26 2011,11869.44,11799.00,11869.44,11794.00,-,0.50%
Apr 27 2011,11895.02,11862.00,11906.00,11845.00,-,0.22%
Apr 28 2011,12013.88,11939.00,12021.00,11938.00,-,1.00%
May 03 2011,12014.79,12031.00,12044.00,11984.00,-,0.01%
May 04 2011,11909.08,11972.00,12030.00,11896.00,-,-0.88%
May 05 2011,11845.72,11921.00,11947.00,11815.00,-,-0.53%
May 06 2011,11907.24,11830.00,11907.24,11747.00,-,0.52%
May 09 2011,11896.09,11887.00,11938.00,11867.00,-,-0.09%
May 10 2011,12055.15,11925.00,12062.00,11918.00,-,1.34%
May 11 2011,12017.87,12053.00,12090.00,12006.00,-,-0.31%
May 12 2011,11967.11,11973.00,11985.00,11898.00,-,-0.42%
May 13 2011,11999.22,12026.00,12048.00,11989.00,-,0.27%
May 16 2011,11943.55,11947.00,11979.00,11856.00,-,-0.46%
May 17 2011,11835.99,11914.00,11960.00,11835.99,-,-0.90%
May 18 2011,11887.54,11891.00,11899.00,11830.00,-,0.44%
May 19 2011,11986.54,11934.00,12007.00,11930.00,-,0.83%
May 20 2011,11992.21,12003.00,12071.00,11973.00,-,0.05%
May 23 2011,11795.67,11890.00,11890.00,11791.00,-,-1.64%
May 24 2011,11858.76,11852.00,11877.00,11843.00,-,0.53%
May 25 2011,11825.24,11790.00,11845.00,11785.00,-,-0.28%
May 26 2011,11841.01,11904.00,11915.00,11832.00,-,0.13%
May 27 2011,11958.80,11903.00,11969.00,11902.00,-,0.99%
May 31 2011,12060.79,12015.00,12084.00,12014.00,-,0.85%
Jun 01 2011,12009.84,12053.00,12073.00,11986.00,-,-0.42%
Jun 02 2011,11963.03,11900.00,12014.00,11879.00,-,-0.39%
Jun 03 2011,11972.66,11990.00,12018.00,11891.00,-,0.08%
Jun 06 2011,11996.93,11961.00,11996.93,11940.00,-,0.20%
Jun 07 2011,12008.79,11997.00,12038.00,11997.00,-,0.10%
Jun 08 2011,11870.92,11964.00,11964.00,11867.00,-,-1.15%
Jun 09 2011,11911.62,11875.00,11911.62,11833.00,-,0.34%
Jun 10 2011,11799.00,11890.00,11909.00,11775.00,-,-0.95%
Jun 13 2011,11779.46,11779.00,11817.00,11747.00,-,-0.17%
Jun 14 2011,11861.43,11853.00,11878.00,11807.00,-,0.70%
Jun 15 2011,11763.43,11852.00,11862.00,11763.43,-,-0.83%
Jun 16 2011,11631.85,11682.00,11684.00,11553.00,-,-1.12%
Jun 17 2011,11661.78,11588.00,11697.00,11499.00,-,0.26%
Jun 20 2011,11537.84,11575.00,11578.00,11496.00,-,-1.06%
Jun 21 2011,11654.92,11571.00,11673.00,11571.00,-,1.01%
Jun 22 2011,11636.16,11642.00,11661.00,11617.00,-,-0.16%
Jun 23 2011,11453.72,11576.00,11591.00,11451.00,-,-1.57%
Jun 24 2011,11528.25,11586.00,11604.00,11515.00,-,0.65%
Jun 27 2011,11549.06,11527.00,11580.00,11512.00,-,0.18%
Jun 28 2011,11606.38,11565.00,11627.00,11535.00,-,0.50%
Jun 29 2011,11799.15,11682.00,11801.00,11680.00,-,1.66%
Jun 30 2011,11934.04,11832.00,11934.04,11831.00,-,1.14%
Jul 01 2011,12040.28,11966.00,12040.28,11933.00,-,0.89%
Jul 04 2011,12102.27,12055.00,12108.00,12054.00,-,0.51%
Jul 05 2011,12145.42,12092.00,12168.00,12092.00,-,0.36%
Jul 06 2011,12131.69,12146.00,12153.00,12110.00,-,-0.11%
Jul 07 2011,12167.81,12131.00,12191.00,12109.00,-,0.30%
Jul 08 2011,12074.26,12195.00,12211.00,12056.00,-,-0.77%
Jul 11 2011,11880.06,12042.00,12044.00,11844.00,-,-1.61%
Jul 12 2011,11778.02,11666.00,11815.00,11584.00,-,-0.86%
Jul 13 2011,11841.47,11790.00,11849.00,11773.00,-,0.54%
Jul 14 2011,11766.56,11794.00,11813.00,11721.00,-,-0.63%
Jul 15 2011,11746.78,11709.00,11798.00,11671.00,-,-0.17%
Jul 18 2011,11527.78,11682.00,11685.00,11527.00,-,-1.86%
Jul 19 2011,11592.41,11543.00,11614.00,11543.00,-,0.56%
Jul 20 2011,11690.00,11656.00,11716.00,11656.00,-,0.84%
Jul 21 2011,11718.02,11709.00,11758.00,11603.00,-,0.24%
